settlement_line_id,settlement_id,source_event_id,source_event_type,payment_id,amount,fee,tax,net_amount,currency,event_timestamp,settlement_timestamp,provider
line_base_00164,setl_base_0010,adj_base_0004,ADJUSTMENT,,13900,0,0,13900,INR,2026-08-29T09:00:00,2026-08-31T09:00:00,razorpay
line_scen_001_p_6327,setl_scen_001_9984,pay_scen_001_3067,PAYMENT,pay_scen_001_3067,500000,10000,1800,488200,INR,2026-08-03T09:06:00,2026-08-04T09:00:00,razorpay
line_scen_001_r_7240,setl_scen_001_9984,rfnd_scen_001_5505,REFUND,pay_scen_001_3067,200000,0,0,-200000,INR,2026-08-03T12:00:00,2026-08-04T09:00:00,razorpay
line_scen_002_p_7779,setl_scen_002_8398,pay_scen_002_r_2624,PAYMENT,pay_scen_002_r_2624,800000,16000,2880,781120,INR,2026-08-06T09:06:00,2026-08-07T09:00:00,razorpay
line_scen_002_r_6553,setl_scen_002_8398,rfnd_scen_002_real_4522,REFUND,pay_scen_002_r_2624,250000,0,0,-250000,INR,2026-08-06T11:00:00,2026-08-07T09:00:00,razorpay
line_scen_003_p_6120,setl_scen_003_7992,pay_scen_003_2557,PAYMENT,pay_scen_003_2557,1000000,20000,3600,976400,INR,2026-08-09T09:02:00,2026-08-10T09:00:00,razorpay
line_scen_003_r_5176,setl_scen_003_7992,rfnd_scen_003_6120,REFUND,pay_scen_003_2557,300000,0,0,-300000,INR,2026-08-09T11:00:00,2026-08-10T09:00:00,razorpay
line_scen_004_p_7105,setl_scen_004_2582,pay_scen_004_2398,PAYMENT,pay_scen_004_2398,1500000,30000,5400,1464600,INR,2026-08-12T09:02:00,2026-08-13T09:00:00,razorpay
line_scen_004_r_3131,setl_scen_004_2582,rfnd_scen_004_2527,REFUND,pay_scen_004_2398,70000,0,0,-70000,INR,2026-08-12T11:00:00,2026-08-13T09:00:00,razorpay
line_scen_004_a_1982,setl_scen_004_2582,adj_scen_004_8075,ADJUSTMENT,,30000,0,0,-30000,INR,2026-08-12T12:00:00,2026-08-13T09:00:00,razorpay
line_scen_005_p_2697,setl_scen_005_6761,pay_scen_005_1842,PAYMENT,pay_scen_005_1842,350000,7000,1260,341740,INR,2026-08-15T09:27:00,2026-08-16T09:00:00,razorpay
line_scen_007_p_5477,setl_scen_007_3955,pay_scen_007_1474,PAYMENT,pay_scen_007_1474,2000000,40000,7200,1952800,INR,2026-08-21T09:01:00,2026-08-22T09:00:00,razorpay
line_scen_008_p_3324,setl_scen_008_2140,pay_scen_008_3347,PAYMENT,pay_scen_008_3347,1200000,24000,4320,1171680,INR,2026-08-24T09:01:00,2026-08-25T09:00:00,razorpay
line_scen_009_p_7062,setl_scen_009_6585,pay_scen_009_1_7163,PAYMENT,pay_scen_009_1_7163,900000,18000,3240,878760,INR,2026-08-27T09:01:00,2026-08-28T09:00:00,razorpay
line_scen_010_p_2336,setl_scen_010_1815,pay_scen_010_3579,PAYMENT,pay_scen_010_3579,3000000,60000,10800,2929200,INR,2026-08-29T09:01:00,2026-08-30T09:00:00,razorpay
